id,department,department_id,amount,date,month,day,category,vendor,description,is_anomaly,anomaly_type
TXN-00102,Education,DEPT-002,34.66,2025-04-06,4,6,infrastructure,Vendor-013,Regular departmental expenditure,False,none
TXN-00006,Health & Family Welfare,DEPT-001,43.17,2025-06-12,6,12,subsidies,Vendor-003,Regular departmental expenditure,False,none
TXN-00396,Rural Development,DEPT-005,7.66,2025-11-05,11,5,capital,Vendor-036,Regular departmental expenditure,False,none
TXN-00489,Urban Development,DEPT-006,2.32,2025-08-04,8,4,infrastructure,Vendor-026,Regular departmental expenditure,False,none
TXN-00163,Education,DEPT-002,22.35,2025-09-22,9,22,capital,Vendor-030,Regular departmental expenditure,False,none
TXN-00635,Water Resources,DEPT-007,49.67,2026-03-31,3,31,infrastructure,Vendor-014,Urgent year-end fund utilization,True,march_dumping
TXN-00787,Public Works - Pune,DEPT-009,7.94,2025-04-10,4,10,revenue,Vendor-039,Regular departmental expenditure,False,none
TXN-00060,Health & Family Welfare,DEPT-001,43.34,2025-10-01,10,1,grants,Vendor-018,Regular departmental expenditure,False,none
TXN-01081,Primary Education - Pune,DEPT-012,5.52,2025-12-04,12,4,capital,Vendor-023,Regular departmental expenditure,False,none
TXN-00316,Agriculture & Farmers,DEPT-004,12.74,2025-09-07,9,7,revenue,Vendor-038,Regular departmental expenditure,False,none
TXN-00824,Public Works - Pune,DEPT-009,30.89,2026-03-29,3,29,grants,Vendor-013,Urgent year-end fund utilization,True,march_dumping
TXN-00864,Public Works - Mumbai,DEPT-010,4.5,2025-07-28,7,28,salaries,Vendor-012,Regular departmental expenditure,False,none
TXN-00478,Urban Development,DEPT-006,5.48,2025-05-19,5,19,subsidies,Vendor-019,Regular departmental expenditure,False,none
TXN-00545,Urban Development,DEPT-006,49.54,2025-06-09,6,9,subsidies,Vendor-028,Procurement payment - vendor invoice,True,threshold_structuring
TXN-00888,Public Works - Mumbai,DEPT-010,6.14,2025-06-28,6,28,grants,Vendor-045,Regular departmental expenditure,False,none
TXN-00773,Public Works - Pune,DEPT-009,4.73,2025-09-01,9,1,grants,Vendor-046,Regular departmental expenditure,False,none
TXN-00365,Agriculture & Farmers,DEPT-004,49.55,2025-12-23,12,23,salaries,Vendor-019,Procurement payment - vendor invoice,True,threshold_structuring
TXN-00037,Health & Family Welfare,DEPT-001,48.0,2025-10-11,10,11,grants,Vendor-017,Regular departmental expenditure,False,none
TXN-00371,Rural Development,DEPT-005,13.65,2025-05-06,5,6,subsidies,Vendor-029,Regular departmental expenditure,False,none
TXN-00300,Agriculture & Farmers,DEPT-004,9.76,2025-06-17,6,17,infrastructure,Vendor-044,Regular departmental expenditure,False,none
